Model,2024-01-05_Score,2024-01-05_Params,2024-01-06_Score,2024-01-06_Params,2024-01-07_Score,2024-01-07_Params
Logistic Regression,,,,,0.8137322531483114,"{'C': 0.1, 'class_weight': None, 'max_iter': 100, 'multi_class': 'multinomial', 'n_jobs': -1, 'penalty': None, 'random_state': 42, 'solver': 'lbfgs'}"
Gradient Boosting,,,,,0.8079035319911233,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 100}"
Multinomial Naive Bayes,,,,,0.8071816261597282,"{'alpha': 0.1, 'class_prior': [0.7, 0.3], 'fit_prior': True}"
Random Forest,,,,,0.7976685115371247,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}"
KNN,,,,,0.7428785326595546,"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}"
Logistic Regression,,,0.8040286133309389,"{'C': 0.1, 'class_weight': None, 'max_iter': 100, 'multi_class': 'multinomial', 'n_jobs': -1, 'penalty': None, 'random_state': 42, 'solver': 'lbfgs'}",,
Multinomial Naive Bayes,,,0.7986052497680405,"{'alpha': 0.1, 'class_prior': [0.7, 0.3], 'fit_prior': True}",,
Gradient Boosting,,,0.7947322738020413,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",,
Random Forest,,,0.7877615156684924,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",,
KNN,,,0.7350872467151537,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",,
Multinomial Naive Bayes,0.7981569847856155,"{'alpha': 0.01, 'class_prior': [0.7, 0.3], 'fit_prior': True}",,,,
Logistic Regression,0.7932226832641771,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 100, 'multi_class': 'multinomial', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg'}",,,,
Gradient Boosting,0.7915491009681881,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",,,,
Random Forest,0.7848928077455049,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",,,,
KNN,0.7317289073305671,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",,,,
